Rank,Word,Frequency_Approx,In_Dictionary,Category
1,daiin,861,Yes,high_frequency
2,aiin,527,Yes,high_frequency
3,chedy,412,Yes,high_frequency
4,shedy,389,Yes,high_frequency
5,ol,356,Yes,high_frequency
6,ar,341,Yes,high_frequency
7,or,298,Yes,high_frequency
8,al,287,Yes,high_frequency
9,chol,276,Yes,high_frequency
10,chor,251,Yes,high_frequency
11,qokaiin,234,Yes,medium_frequency
12,qotaiin,228,Yes,medium_frequency
13,daiin,223,Yes,medium_frequency
14,shol,218,Yes,medium_frequency
15,chy,205,Yes,medium_frequency
16,cheol,198,Yes,medium_frequency
17,chey,192,Yes,medium_frequency
18,dar,187,Yes,medium_frequency
19,otaiin,183,Yes,medium_frequency
20,okaiin,176,Yes,medium_frequency
21,sho,172,Yes,medium_frequency
22,dol,168,Yes,medium_frequency
23,qol,164,Yes,medium_frequency
24,otal,159,Yes,medium_frequency
25,sheol,155,Yes,medium_frequency
26,ckhy,151,Yes,medium_frequency
27,cthey,147,Yes,medium_frequency
28,keey,143,Yes,medium_frequency
29,qoky,139,Yes,medium_frequency
30,oky,135,Yes,medium_frequency
31,dal,132,Yes,medium_frequency
32,cheedy,128,Yes,medium_frequency
33,qotar,124,Yes,medium_frequency
34,otedy,120,Yes,medium_frequency
35,shor,116,Yes,medium_frequency
36,shey,113,Yes,medium_frequency
37,teey,109,Yes,medium_frequency
38,okedy,105,Yes,medium_frequency
39,oledy,102,Yes,medium_frequency
40,qotedy,98,Yes,lower_frequency
41,qokedy,95,Yes,lower_frequency
42,shol,92,Yes,lower_frequency
43,chedy,89,Yes,lower_frequency
44,olchey,86,Yes,lower_frequency
45,okchey,83,Yes,lower_frequency
46,otchey,80,Yes,lower_frequency
47,qochey,77,Yes,lower_frequency
48,qokchey,74,Yes,lower_frequency
49,qotchey,71,Yes,lower_frequency
50,tchey,68,Yes,lower_frequency
